deftly,skillfully,occasionally,incorrect
sufficient,enough,enough,correct
fashion,manner,craze,incorrect
haphazardly,randomly,densely,incorrect
uniform,alike,hard,incorrect
situated,positioned,positioned,correct
spot,location,location,correct
hind,rear,hairy,incorrect
bigger,larger,closer,incorrect
narrow,thin,clear,incorrect
unmatched,unequaled,unrecognized,incorrect
halfheartedly,apathetically,bipartisanly,guess
generally,broadly,controversially,incorrect
constantly,continually,continually,correct
hailed,acclaimed,acclaimed,correct
costly,expensive,expensive,correct
sustained,prolonged,prolonged,correct
hasten,accelerate,accelerate,correct
consumed,eaten,eaten,correct
